date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2010-01-04,517.1,42051600,,,179.8,26326800,,,1.49,603120
2010-01-05,532.5,66619450,,,183.3,36438200,54.3,359304.0,1.56,1203080
2010-01-06,534.5,64222280,,,179.6,40892900,,,1.61,1771660
2010-01-07,533.3,66287110,,,178.0,36192200,,,1.66,1535800
2010-01-08,520.9,76177100,,,179.8,40204000,,,1.59,909010
2010-01-11,515.1,42904970,,,177.0,24087600,51.8,246457.0,1.56,732580
2010-01-12,498.3,50751560,,,170.6,27029400,,,1.5,885660
2010-01-13,508.6,52968720,,,174.3,34716500,52.65,305047.0,1.54,958420
2010-01-14,512.3,33851840,,,175.7,28841900,52.78,418139.0,1.51,402680
2010-01-15,505.4,36355610,,,171.4,18486600,,,1.49,437400
2010-01-18,487.1,39253920,,,164.5,22006800,,,1.44,497510
2010-01-19,495.5,32298020,,,165.9,18735000,,,1.48,479060
2010-01-20,489.5,30775080,,,161.1,17642400,,,1.46,474300
2010-01-21,478.4,38873460,,,157.6,23071700,,,1.43,425450
2010-01-22,477.6,27517620,,,157.6,18746500,,,1.43,586550
2010-01-25,480.9,19454520,,,157.3,13657700,,,1.45,199710
2010-01-26,497.9,32246580,,,165.5,19794400,52.48,219635.0,1.51,536240
2010-01-27,486.4,32131720,,,160.9,17888000,52.54,233677.0,1.46,271340
2010-01-28,481.8,20803730,,,159.3,13886400,,,1.44,245300
2010-01-29,482.0,24187770,,,160.4,14979300,,,1.46,393890
2010-02-01,487.0,20695680,,,161.2,11988700,,,1.53,484240
2010-02-02,487.9,24044320,,,160.9,13313100,,,1.56,1018050
2010-02-03,495.5,24485310,,,161.9,12633900,,,1.58,864930
2010-02-04,503.8,34272400,,,164.7,16238600,,,1.58,912150
2010-02-05,493.0,31741600,,,161.8,16371300,52.67,217600.0,1.54,537270
2010-02-08,491.2,19118380,,,161.1,10296700,,,1.54,472190
2010-02-09,482.9,21152200,,,159.5,12343600,,,1.54,328950
2010-02-10,490.9,15468550,,,161.0,8543700,,,1.56,278940
2010-02-11,499.9,18570470,,,163.3,10390200,,,1.56,203140
2010-02-12,507.0,22150560,,,164.7,7800700,,,1.58,253950
2010-02-22,510.0,19131920,,,165.6,8578500,,,1.56,184990
2010-02-23,496.3,24352140,,,161.6,10173400,,,1.51,356540
2010-02-24,494.6,24796880,,,162.8,11365200,,,1.51,371930
2010-02-25,495.0,26741270,,,162.3,12887100,,,1.5,407930
2010-02-26,496.9,31102610,,,162.4,12878000,,,1.48,451710
2010-03-01,503.0,32389410,,,166.3,19089100,46.78,372680.0,1.5,284110
2010-03-02,501.0,34862300,,,165.4,24663100,47.19,316110.0,1.54,549860
2010-03-03,507.3,36152370,,,170.2,32534800,47.31,349971.0,1.56,499740
2010-03-04,511.9,47852720,,,168.4,28749500,45.22,186905.0,1.56,694000
2010-03-05,513.4,44095840,,,170.2,31229700,46.79,152110.0,1.58,480790
2010-03-08,521.1,53071450,,,171.2,28620700,46.14,735608.0,1.61,450120
2010-03-09,527.3,60441560,,,172.7,32742500,45.45,208024.0,1.61,843010
2010-03-10,525.7,55713450,,,172.1,37156000,44.01,193190.0,1.64,556790
2010-03-11,524.6,50966990,,,171.5,26565900,42.96,542798.0,1.68,1672180
2010-03-12,531.5,53686140,,,173.5,30530900,43.13,307175.0,1.68,623150
2010-03-15,531.9,54199710,,,173.3,35175500,42.96,930224.0,1.67,497550
2010-03-16,516.1,64874240,,,168.7,39414200,44.26,238136.0,1.62,585500
2010-03-17,510.9,49838910,,,168.2,29631700,44.29,341031.0,1.59,682260
2010-03-18,519.7,44323480,,,170.6,28429800,44.47,320808.0,1.62,372020
2010-03-19,516.0,53468830,,,169.9,25667200,43.8,558590.0,1.61,371440
2010-03-22,511.6,39977520,,,168.4,25307000,45.43,373154.0,1.59,367360
2010-03-23,506.5,44044890,,,167.0,28233500,45.98,273728.0,1.58,442100
2010-03-24,512.1,43396280,,,168.2,24232400,46.15,338651.0,1.59,406220
2010-03-25,503.4,50206760,,,163.7,30111400,,,1.55,419770
2010-03-26,505.3,47585270,,,163.8,23277500,44.02,391098.0,1.56,248330
2010-03-29,505.7,35472710,,,163.8,24757100,45.95,503427.0,1.56,188700
2010-03-30,500.7,47215800,,,162.4,26625700,45.75,502370.0,1.55,305370
2010-03-31,499.2,45342680,,,160.6,21252200,44.92,472952.0,1.53,580860
2010-04-01,508.2,41808030,,,163.8,21234300,45.56,329526.0,1.56,474730
2010-04-02,510.5,39486490,,,164.1,24056000,44.26,222627.0,1.59,442760
2010-04-05,514.8,41859130,,,167.2,33452100,44.91,195689.0,1.64,642470
2010-04-06,515.3,66656790,,,166.7,39409800,45.93,507930.0,1.64,896310
2010-04-07,515.8,48659250,,,168.2,40921800,44.63,817261.0,1.65,484850
2010-04-08,515.9,54227900,,,170.6,50177900,41.54,1126908.0,1.65,420120
2010-04-09,517.4,59536420,,,170.8,48209100,41.97,230748.0,1.65,501430
2010-04-12,519.9,52162000,,,171.2,51816900,42.53,635323.0,1.65,395000
2010-04-13,518.0,50547580,,,168.57,42947700,41.44,4552873.0,1.64,606100
2010-04-14,516.2,42719810,,,169.1,34912500,41.85,324477.0,1.64,410790
2010-04-15,521.5,50686190,,,171.9,45997900,42.62,614739.0,1.66,572700
2010-04-16,522.0,59353900,,,172.6,47805400,44.1,555169.0,1.65,296860
2010-04-19,516.7,57018190,,,173.0,54543500,44.73,2300283.0,1.65,327330
2010-04-20,515.2,54803770,,,173.9,50475200,46.3,413989.0,1.65,267520
2010-04-21,519.7,53769580,,,177.9,58727200,47.33,472937.0,1.65,579670
2010-04-22,529.3,77539180,,,178.3,75583300,46.69,290045.0,1.67,746300
2010-04-26,531.2,63178720,,,176.0,42582200,45.98,659832.0,1.68,923660
2010-04-27,535.7,54218510,,,176.1,41058200,44.46,526209.0,1.77,2002680
2010-04-28,539.2,58029450,,,176.6,42064900,45.41,945232.0,1.77,1065180
2010-04-29,542.4,72395920,,,179.7,50958800,47.07,893677.0,1.75,488110
2010-05-04,549.1,86332860,,,184.3,43184500,49.83,800030.0,1.74,361080
2010-05-05,548.0,82141870,,,183.2,61421100,50.3,907172.0,1.7,624960
2010-05-06,549.5,78206620,,,187.2,56430400,52.67,1082528.0,1.7,499330
2010-05-07,542.0,105923850,,,184.4,79156000,54.24,981727.0,1.66,565930
2010-05-10,534.4,76286050,,,181.7,62799600,55.65,839372.0,1.64,656620
2010-05-11,534.4,65187810,,,182.4,47186100,55.34,863841.0,1.64,307330
2010-05-12,519.6,65495340,,,174.7,50150000,52.96,748242.0,1.61,361210
2010-05-13,518.9,54756390,,,173.2,39132600,53.2,786894.0,1.61,228970
2010-05-14,520.7,41332440,,,172.7,42880600,52.22,812800.0,1.61,166660
2010-05-17,511.3,51530730,,,169.6,40760800,51.18,250128.0,1.56,252040
2010-05-18,508.3,41803840,,,167.0,32302500,54.62,257345.0,1.54,223530
2010-05-19,494.9,56689090,,,160.5,38701000,50.11,377226.0,1.49,458670
2010-05-20,503.6,53770960,,,163.4,52992700,50.48,343872.0,1.56,256780
2010-05-21,483.7,57057270,,,152.7,42413700,48.5,418015.0,1.48,377000
2010-05-24,486.2,38991860,,,156.4,35018400,,,1.48,338810
2010-05-25,486.3,41290920,,,155.9,31560400,48.27,481861.0,1.45,490640
2010-05-26,492.7,37394010,,,159.5,31171100,48.85,282218.0,1.49,205260
2010-05-27,497.2,37365130,,,159.8,29769200,48.95,284006.0,1.49,300120
2010-05-28,513.0,56242530,,,166.7,43784200,49.02,477066.0,1.54,288170
2010-05-31,507.4,39860020,,,163.6,29413700,48.97,202830.0,1.54,270000
2010-06-01,508.7,35911060,,,162.9,31132700,49.01,360828.0,1.54,145940
2010-06-02,510.7,37571380,,,162.2,29326600,48.4,243008.0,1.54,278700
2010-06-03,511.2,44546290,,,163.4,29184300,46.18,239174.0,1.54,331490
2010-06-04,510.4,45070860,,,161.7,29346300,,,1.54,165550
2010-06-07,496.9,49305700,,,154.8,34568100,45.58,197150.0,1.53,341410
2010-06-08,497.2,36309260,,,157.5,27872000,44.54,258318.0,1.51,267800
2010-06-09,497.6,31820080,,,156.6,22196700,,,1.5,285370
2010-06-10,500.5,30797770,,,157.1,18610100,44.62,206482.0,1.52,122590
2010-06-11,504.3,38219010,,,158.2,28821300,,,1.52,88710
2010-06-14,508.3,39350540,,,159.8,32157900,45.79,427918.0,1.52,161540
2010-06-15,508.0,44664500,,,160.5,38320700,45.63,475558.0,1.53,279590
2010-06-16,510.7,47970250,,,163.6,43493000,45.21,68903.0,1.52,233890
2010-06-17,510.8,44615300,,,162.3,44271000,45.97,278933.0,1.52,249480
2010-06-18,511.2,50875170,,,163.4,42506400,46.07,420210.0,1.52,546880
2010-06-21,514.8,46371750,,,164.0,42658100,46.02,362120.0,1.51,253020
2010-06-22,512.6,74762560,,,161.9,44794000,46.59,939193.0,1.52,262430
2010-06-23,512.8,44290230,,,162.9,35977500,,,1.52,91440
2010-06-24,511.7,50351690,,,163.0,38729200,47.05,567949.0,1.52,242340
2010-06-25,505.1,50325960,,,160.4,44316000,47.15,674276.0,1.51,247430
2010-06-28,507.3,41239710,,,161.2,30627500,47.75,715215.0,1.5,186510
