date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-01-04,1120.47,670280100,1091.87,233730100,206.28,106271330,74.2,50949119,8.01,42370800
2021-01-05,1132.55,673728400,1104.3,191641100,208.13,123520433,74.43,46570926,8.41,34044900
2021-01-06,1143.21,688438500,1113.72,225226500,211.68,126097649,74.82,53834857,8.46,22063300
2021-01-07,1156.49,685553900,1130.59,215401400,215.79,146687275,75.19,51635194,8.66,18918200
2021-01-08,1167.69,726084300,1147.86,220086200,217.4,165060870,76.07,102175816,8.89,25861800
2021-01-11,1184.89,737563100,1163.4,222792000,219.12,137969521,76.95,55826425,8.81,23381600
2021-01-12,1192.28,643621500,1169.03,202517400,221.97,166570688,77.89,63161622,8.74,16552100
2021-01-13,1186.05,710219700,1164.57,187356100,222.49,197181639,77.93,60814612,8.69,18649800
2021-01-14,1187.4,709253600,1168.99,229616000,222.27,124683342,77.75,50679488,8.83,20138800
2021-01-15,1194.2,715687900,1182.2,211717400,225.47,174574053,78.64,93823029,8.94,19922700
2021-01-18,1191.94,677474100,1173.34,199288900,230.5,155722835,78.55,62800948,8.76,13838300
2021-01-19,1131.0,888174700,1107.32,324705300,224.02,263670027,76.15,91428865,8.16,22184900
2021-01-20,1134.68,769795300,1116.21,262600200,233.26,172499955,76.18,53854642,8.16,23198100
2021-01-21,1164.21,639454800,1151.3,204600400,240.27,128159184,77.46,51595737,8.63,14714600
2021-01-22,1166.78,691689100,1156.58,210394400,240.12,144572240,77.6,101212201,8.56,12400500
2021-01-25,1166.05,639736600,1154.29,198478400,231.84,146309937,77.42,52771354,8.43,10924900
2021-01-26,1136.12,719767100,1125.09,236714100,227.82,183503721,76.42,64756437,8.56,19797100
2021-01-27,1097.17,719150000,1083.63,241013700,220.79,137352831,74.46,55972936,8.02,22798000
2021-01-28,1023.94,669631000,1010.75,282129400,203.05,119345337,69.12,59166099,7.47,20362200
2021-01-29,1056.61,714102800,1048.31,242653600,214.21,162951162,72.08,104664671,7.84,19607700
2021-02-01,1035.51,565564800,1029.86,185209952,208.85,101534222,71.08,33117992,7.36,16163000
2021-02-02,1075.53,529632600,1079.7,162837100,215.36,104307298,71.66,27740622,7.81,14396700
2021-02-03,1111.29,609128600,1117.98,204897000,223.62,117160664,73.3,40215424,8.11,19837900
2021-02-04,1112.19,449954100,1117.74,155634900,223.68,80768986,74.06,36976095,8.04,11089600
2021-02-05,1126.91,438884200,1135.5,139783900,223.84,98632935,73.89,61872493,8.28,11885000
2021-02-08,1083.18,613138900,1093.84,227815900,220.76,122185642,72.65,48036685,7.99,22263700
2021-02-09,1114.93,462098700,1129.49,173192200,224.9,73849671,73.81,30858367,8.28,15933800
2021-02-17,1155.78,484219600,1174.91,174115900,230.02,83079984,75.74,46937986,8.63,18470000
2021-02-18,1174.38,562444200,1187.94,183246200,230.96,124754301,75.35,57515990,8.76,23346000
2021-02-19,1173.5,522199200,1180.59,166179400,231.18,100487526,76.13,72356165,8.98,30003300
